timeout,repetition,tool,app,malware,coverage
180,1,joke,app-28,True,0.0
180,1,joke,app-29,True,0.0
180,1,joke,app-3,True,0.0
180,1,joke,app-30,False,0.0
180,1,joke,app-31,False,0.0
180,1,joke,app-33,False,0.0
180,1,joke,app-34,False,0.0
180,1,joke,app-35,False,0.0
180,1,joke,app-37,False,0.0
180,1,joke,app-38,False,0.0
180,1,joke,app-39,False,0.0
180,1,joke,app-4,False,0.0
180,1,joke,app-40,False,0.0
180,1,joke,app-42,False,0.0
180,1,joke,app-43,True,0.0
180,1,joke,app-44,False,0.0
180,1,joke,app-45,True,0.0
180,1,joke,app-46,True,0.0
180,1,joke,app-47,False,0.0
180,1,joke,app-48,False,0.0
180,1,joke,app-49,True,0.0
180,1,joke,app-5,False,0.0
180,1,joke,app-50,True,0.0
180,1,joke,app-51,False,0.0
180,1,joke,app-52,True,0.0
180,1,joke,app-53,True,0.0
180,1,joke,app-54,True,0.0
180,1,joke,app-55,True,0.0
180,1,joke,app-56,False,0.0
180,1,joke,app-57,True,0.0
180,1,joke,app-58,False,0.0
180,1,joke,app-59,True,0.0
180,1,joke,app-6,False,0.0
180,1,joke,app-60,True,0.0
180,1,joke,app-61,True,0.0
180,1,joke,app-62,False,0.0
180,1,joke,app-63,False,0.0
180,1,joke,app-64,True,0.0
180,1,joke,app-65,False,0.0
180,1,joke,app-66,True,0.0
180,1,joke,app-67,True,0.0
180,1,joke,app-68,False,0.0
180,1,joke,app-69,False,0.0
180,1,joke,app-7,False,0.0
180,1,joke,app-70,False,0.0
180,1,joke,app-71,False,0.0
180,1,joke,app-72,False,0.0
180,1,joke,app-73,False,0.0
180,1,joke,app-74,True,0.0
180,1,joke,app-75,False,0.0
180,1,joke,app-76,True,0.0
180,1,joke,app-77,True,0.0
180,1,joke,app-78,True,0.0
180,1,joke,app-79,False,0.0
180,1,joke,app-8,False,0.0
180,1,joke,app-80,True,0.0
180,1,joke,app-81,False,0.0
180,1,joke,app-82,False,0.0
180,1,joke,app-83,True,0.0
180,1,joke,app-84,False,0.0
180,1,joke,app-85,True,0.0
180,1,joke,app-86,False,0.0
180,1,joke,app-87,False,0.0
180,1,joke,app-89,False,0.0
180,1,joke,app-9,True,0.0
180,1,joke,app-90,True,0.0
180,1,joke,app-91,False,0.0
180,1,joke,app-92,True,0.0
180,1,joke,app-94,False,0.0
180,1,joke,app-95,True,0.0
180,1,joke,app-96,True,0.0
180,1,joke,app-97,False,0.0
180,1,joke,app-98,False,0.0
180,1,joke,app-99,False,0.0
180,1,monkey,app-1,True,4.415
180,1,monkey,app-10,False,37.39
180,1,monkey,app-100,True,12.855
180,1,monkey,app-101,True,8.695
180,1,monkey,app-102,False,43.53
180,1,monkey,app-11,True,34.315
180,1,monkey,app-12,True,15.379999999999999
180,1,monkey,app-13,True,40.790000000000006
180,1,monkey,app-14,True,0.0
180,1,monkey,app-15,True,46.105
180,1,monkey,app-16,True,0.0
180,1,monkey,app-17,True,0.0
180,1,monkey,app-18,True,37.025000000000006
180,1,monkey,app-19,True,20.384999999999998
180,1,monkey,app-2,True,26.25
180,1,monkey,app-20,True,40.775000000000006
180,1,monkey,app-21,True,28.855
180,1,monkey,app-22,False,27.005
180,1,monkey,app-23,True,0.0
180,1,monkey,app-24,True,52.175
180,1,monkey,app-26,True,36.03
180,1,monkey,app-27,True,42.790000000000006
180,1,monkey,app-28,True,44.165
180,1,monkey,app-29,True,18.02
180,1,monkey,app-3,True,18.575
180,1,monkey,app-30,True,47.06
180,1,monkey,app-31,False,23.130000000000003
180,1,monkey,app-33,True,52.574999999999996
180,1,monkey,app-34,True,42.86
180,1,monkey,app-35,False,52.83
180,1,monkey,app-37,False,24.939999999999998
180,1,monkey,app-38,False,0.0
180,1,monkey,app-39,False,0.33999999999999997
180,1,monkey,app-4,False,47.725
180,1,monkey,app-40,True,14.31
180,1,monkey,app-42,True,10.219999999999999
180,1,monkey,app-43,True,26.145
180,1,monkey,app-44,False,0.0
180,1,monkey,app-45,True,23.35
180,1,monkey,app-46,True,27.52
180,1,monkey,app-47,False,30.895000000000003
180,1,monkey,app-48,False,0.0
180,1,monkey,app-49,True,41.665000000000006
180,1,monkey,app-5,True,42.44500000000001
180,1,monkey,app-50,True,10.125
180,1,monkey,app-51,True,30.195
180,1,monkey,app-52,True,4.95
180,1,monkey,app-53,True,14.169999999999998
180,1,monkey,app-54,True,8.26
180,1,monkey,app-55,True,5.795
180,1,monkey,app-56,False,22.58
180,1,monkey,app-57,True,1.17
180,1,monkey,app-58,True,34.62
180,1,monkey,app-59,True,31.57
180,1,monkey,app-6,True,16.695
180,1,monkey,app-60,True,68.475
180,1,monkey,app-61,True,0.0
180,1,monkey,app-62,True,16.990000000000002
180,1,monkey,app-63,False,33.785
180,1,monkey,app-64,True,100.0
180,1,monkey,app-65,False,7.46
180,1,monkey,app-66,True,15.74
180,1,monkey,app-67,True,0.0
180,1,monkey,app-68,False,12.5
180,1,monkey,app-69,True,15.559999999999999
180,1,monkey,app-7,False,37.195
180,1,monkey,app-70,True,21.665000000000003
180,1,monkey,app-71,True,27.884999999999998
180,1,monkey,app-72,True,9.385
180,1,monkey,app-73,False,45.45
180,1,monkey,app-74,True,0.0
180,1,monkey,app-75,False,30.919999999999998
180,1,monkey,app-76,True,23.12
180,1,monkey,app-77,True,6.605
180,1,monkey,app-78,True,15.190000000000001
180,1,monkey,app-79,False,14.395
180,1,monkey,app-8,False,41.644999999999996
180,1,monkey,app-80,True,41.385
180,1,monkey,app-81,False,20.29
180,1,monkey,app-82,True,7.540000000000001
180,1,monkey,app-83,True,11.110000000000001
180,1,monkey,app-84,True,61.455
180,1,monkey,app-85,True,20.13
180,1,monkey,app-86,True,10.225000000000001
180,1,monkey,app-87,True,27.27
180,1,monkey,app-89,False,20.41
180,1,monkey,app-9,True,0.0
180,1,monkey,app-90,True,7.175
180,1,monkey,app-91,True,20.805
180,1,monkey,app-92,True,40.045
180,1,monkey,app-94,False,26.17
180,1,monkey,app-95,True,25.0
180,1,monkey,app-96,True,53.72
180,1,monkey,app-97,True,4.824999999999999
180,1,monkey,app-98,True,63.035
180,1,monkey,app-99,False,45.879999999999995
